feature,importance
health_score_std,0.2156853
health_score_mean,0.11269255
oil_temp_std,0.07033037
cht_std,0.06365523
rpm_std,0.058720585
oil_pressure_max,0.046509434
vibration_std,0.03486426
vibration_range,0.028728629
rpm_range,0.027888197
cht_range,0.02293818
egt_slope,0.020236261
health_score_min,0.019209206
vibration_min,0.016480066
fuel_flow_min,0.013526813
cht_slope,0.013191598
rpm_max,0.012434083
vibration_mean,0.012367998
oil_pressure_std,0.0111859795
egt_range,0.010650175
egt_std,0.010564537
oil_pressure_mean,0.009340372
oil_pressure_slope,0.008948941
oil_temp_slope,0.008822911
oil_temp_max,0.008371649
oil_pressure_min,0.008336432
cht_max,0.008200402
vibration_slope,0.007911298
vibration_max,0.007891195
fuel_flow_max,0.007531043
egt_max,0.0067001334
oil_temp_mean,0.0064092437
oil_temp_range,0.005758201
cht_mean,0.0056240438
cht_min,0.005420677
oil_pressure_range,0.0052890163
oil_temp_min,0.00527367
rpm_slope,0.0051807268
rpm_min,0.0051063206
egt_mean,0.005077754
fuel_flow_mean,0.005065547
egt_min,0.004634204
cht_delta,0.0044839284
rpm_mean,0.0037561036
rpm_delta,0.0036970293
fuel_flow_range,0.0035846394
egt_delta,0.0035381997
fuel_flow_slope,0.0033633085
oil_pressure_delta,0.0026107847
fuel_flow_std,0.002544213
vibration_delta,0.0025092089
health_score_slope,0.002420868
fuel_flow_delta,0.002050325
oil_temp_delta,0.0020231209
health_score_delta,0.00066503993
