flight_id,window_start,actual_fault,predicted_fault,confidence,health_score
cooling_degradation_000,0,cooling_degradation,none,0.999,100.0
cooling_degradation_000,30,cooling_degradation,none,0.9994,100.0
cooling_degradation_000,60,cooling_degradation,none,0.999,100.0
cooling_degradation_000,90,cooling_degradation,none,0.9989,100.0
cooling_degradation_000,120,cooling_degradation,none,0.9587,100.0
cooling_degradation_000,150,cooling_degradation,cooling_degradation,0.925,100.0
cooling_degradation_000,180,cooling_degradation,cooling_degradation,0.9981,100.0
cooling_degradation_000,210,cooling_degradation,cooling_degradation,0.9988,99.92
cooling_degradation_000,240,cooling_degradation,cooling_degradation,0.9942,98.57
cooling_degradation_000,270,cooling_degradation,cooling_degradation,0.9953,96.19
cooling_degradation_001,0,cooling_degradation,none,0.9981,100.0
cooling_degradation_001,30,cooling_degradation,none,0.9982,100.0
cooling_degradation_001,60,cooling_degradation,none,0.999,100.0
cooling_degradation_001,90,cooling_degradation,none,0.9992,100.0
cooling_degradation_001,120,cooling_degradation,cooling_degradation,0.9625,100.0
cooling_degradation_001,150,cooling_degradation,cooling_degradation,0.943,100.0
cooling_degradation_001,180,cooling_degradation,cooling_degradation,0.9896,100.0
cooling_degradation_001,210,cooling_degradation,cooling_degradation,0.9993,99.95
cooling_degradation_001,240,cooling_degradation,cooling_degradation,0.9963,99.25
cooling_degradation_001,270,cooling_degradation,cooling_degradation,0.9963,97.68
cooling_degradation_002,0,none,none,0.9996,100.0
cooling_degradation_002,30,none,none,0.9987,100.0
cooling_degradation_002,60,none,none,0.9972,100.0
cooling_degradation_002,90,none,none,0.9985,100.0
cooling_degradation_002,120,none,none,0.9981,100.0
cooling_degradation_002,150,none,none,0.9983,100.0
cooling_degradation_002,180,none,cooling_degradation,0.9685,100.0
cooling_degradation_002,210,none,cooling_degradation,0.9854,100.0
cooling_degradation_002,240,none,cooling_degradation,0.9997,99.1
cooling_degradation_002,270,none,cooling_degradation,0.9932,95.99
cooling_degradation_003,0,cooling_degradation,none,0.9977,100.0
cooling_degradation_003,30,cooling_degradation,none,0.9952,100.0
cooling_degradation_003,60,cooling_degradation,none,0.9978,100.0
cooling_degradation_003,90,cooling_degradation,none,0.9996,100.0
cooling_degradation_003,120,cooling_degradation,cooling_degradation,0.9515,100.0
cooling_degradation_003,150,cooling_degradation,cooling_degradation,0.9974,100.0
cooling_degradation_003,180,cooling_degradation,cooling_degradation,0.9976,100.0
cooling_degradation_003,210,cooling_degradation,cooling_degradation,0.9992,99.73
cooling_degradation_003,240,cooling_degradation,cooling_degradation,0.9898,98.11
cooling_degradation_003,270,cooling_degradation,cooling_degradation,0.9991,95.76
cooling_degradation_004,0,cooling_degradation,none,0.9926,100.0
cooling_degradation_004,30,cooling_degradation,none,0.9981,100.0
cooling_degradation_004,60,cooling_degradation,none,0.9983,100.0
cooling_degradation_004,90,cooling_degradation,none,0.9983,100.0
cooling_degradation_004,120,cooling_degradation,none,0.9974,100.0
cooling_degradation_004,150,cooling_degradation,cooling_degradation,0.9288,100.0
cooling_degradation_004,180,cooling_degradation,cooling_degradation,0.9812,100.0
cooling_degradation_004,210,cooling_degradation,cooling_degradation,0.9987,100.0
cooling_degradation_004,240,cooling_degradation,cooling_degradation,0.9986,99.52
cooling_degradation_004,270,cooling_degradation,cooling_degradation,0.9968,97.56
cooling_degradation_005,0,none,none,0.9984,100.0
cooling_degradation_005,30,none,none,0.9991,100.0
cooling_degradation_005,60,none,none,0.9997,100.0
cooling_degradation_005,90,none,none,0.9982,100.0
cooling_degradation_005,120,none,none,0.9995,100.0
cooling_degradation_005,150,none,cooling_degradation,0.9452,100.0
cooling_degradation_005,180,none,cooling_degradation,0.9815,100.0
cooling_degradation_005,210,none,cooling_degradation,0.9993,100.0
cooling_degradation_005,240,none,cooling_degradation,0.9992,99.35
cooling_degradation_005,270,none,cooling_degradation,0.9955,97.28
cooling_degradation_006,0,none,none,0.9993,100.0
cooling_degradation_006,30,none,none,0.9981,100.0
cooling_degradation_006,60,none,none,0.9993,100.0
cooling_degradation_006,90,none,none,0.9998,100.0
cooling_degradation_006,120,none,none,0.9974,100.0
cooling_degradation_006,150,none,none,0.9732,100.0
cooling_degradation_006,180,none,cooling_degradation,0.9961,100.0
cooling_degradation_006,210,none,cooling_degradation,0.9995,100.0
cooling_degradation_006,240,none,cooling_degradation,0.9992,99.52
cooling_degradation_006,270,none,cooling_degradation,0.9982,97.21
cooling_degradation_007,0,none,none,0.9991,100.0
cooling_degradation_007,30,none,none,0.9984,100.0
cooling_degradation_007,60,none,none,0.9996,100.0
cooling_degradation_007,90,none,none,0.999,100.0
cooling_degradation_007,120,none,none,0.998,100.0
cooling_degradation_007,150,none,cooling_degradation,0.8598,100.0
cooling_degradation_007,180,none,cooling_degradation,0.9953,100.0
cooling_degradation_007,210,none,cooling_degradation,0.9995,99.98
cooling_degradation_007,240,none,cooling_degradation,0.9962,99.12
cooling_degradation_007,270,none,cooling_degradation,0.9909,96.92
cooling_degradation_008,0,none,none,0.999,100.0
cooling_degradation_008,30,none,none,0.9993,100.0
cooling_degradation_008,60,none,none,0.9952,100.0
cooling_degradation_008,90,none,none,0.9983,100.0
cooling_degradation_008,120,none,none,0.9968,100.0
cooling_degradation_008,150,none,none,0.9918,100.0
cooling_degradation_008,180,none,cooling_degradation,0.9488,100.0
cooling_degradation_008,210,none,cooling_degradation,0.9981,100.0
cooling_degradation_008,240,none,cooling_degradation,0.9997,99.61
cooling_degradation_008,270,none,cooling_degradation,0.9987,97.05
cooling_degradation_009,0,cooling_degradation,none,0.9983,100.0
cooling_degradation_009,30,cooling_degradation,none,0.9997,100.0
cooling_degradation_009,60,cooling_degradation,none,0.9974,100.0
cooling_degradation_009,90,cooling_degradation,none,0.9944,100.0
cooling_degradation_009,120,cooling_degradation,cooling_degradation,0.9252,100.0
cooling_degradation_009,150,cooling_degradation,cooling_degradation,0.9592,100.0
cooling_degradation_009,180,cooling_degradation,cooling_degradation,0.9985,100.0
cooling_degradation_009,210,cooling_degradation,cooling_degradation,0.9994,99.75
cooling_degradation_009,240,cooling_degradation,cooling_degradation,0.9983,98.31
cooling_degradation_009,270,cooling_degradation,cooling_degradation,0.9948,96.47
cooling_degradation_010,0,cooling_degradation,none,0.9984,100.0
cooling_degradation_010,30,cooling_degradation,none,0.9983,100.0
cooling_degradation_010,60,cooling_degradation,none,0.9987,100.0
cooling_degradation_010,90,cooling_degradation,none,0.9978,100.0
cooling_degradation_010,120,cooling_degradation,cooling_degradation,0.9548,100.0
cooling_degradation_010,150,cooling_degradation,cooling_degradation,0.9922,100.0
cooling_degradation_010,180,cooling_degradation,cooling_degradation,0.9988,100.0
cooling_degradation_010,210,cooling_degradation,cooling_degradation,0.9996,99.72
cooling_degradation_010,240,cooling_degradation,cooling_degradation,0.9942,98.36
cooling_degradation_010,270,cooling_degradation,cooling_degradation,0.9935,96.38
cooling_degradation_011,0,none,none,0.9947,100.0
cooling_degradation_011,30,none,none,0.9985,100.0
cooling_degradation_011,60,none,none,0.9919,100.0
cooling_degradation_011,90,none,none,0.999,100.0
cooling_degradation_011,120,none,none,0.9971,100.0
cooling_degradation_011,150,none,cooling_degradation,0.8982,100.0
cooling_degradation_011,180,none,cooling_degradation,0.9891,100.0
cooling_degradation_011,210,none,cooling_degradation,0.9977,100.0
cooling_degradation_011,240,none,cooling_degradation,0.9995,99.76
cooling_degradation_011,270,none,cooling_degradation,0.9987,98.05
cooling_degradation_012,0,cooling_degradation,none,0.9941,100.0
cooling_degradation_012,30,cooling_degradation,none,0.9999,100.0
